Sample,xPos,yPos
S01,-0.00622567470884896,-0.0023488081627471343
S02,-0.004099397660064176,-7.950307007854344e-4
S03,-0.008500744212197934,2.727656893505331e-4
S04,-0.01007119731694805,0.0013952677949815352
S05,-0.016528487354839312,-0.0019722705655458492
S06,-0.008461736179542542,-0.0012928688583694848
S07,-0.006833029217961569,3.152911758361198e-4
S08,-0.0051898914187075915,7.898014779466627e-4
S09,-0.007734480663084205,-8.778218431626938e-4
S10,-0.002582998304755483,0.0013452590023227237
S11,-0.0013939210642572016,0.0011932735358146686
S12,-0.006687831043636747,0.005079076211082737
S13,-0.004251215663712122,-6.56737730924578e-4
S14,5.856184017331043e-4,4.040879414535871e-4
S15,1.4456506213787043e-4,2.8844595332053186e-4
S16,0.0017197603368031575,-2.6240451251282596e-5
S17,0.003785416671305619,5.442424428224417e-4
S18,0.006935807488182206,0.0016177939694145824
S19,0.00998180891425016,0.0026983946707793936
S20,0.031485027972480956,0.0015700759943331945
S21,0.004216656409052592,-0.001481194056988592
S22,0.0075411085550823155,-9.847945656774493e-4
S23,0.009372665250645737,-0.001479908296559744
S24,0.012792169746882158,-0.005598100627446451
