Library	ORF	Plate	Row	Column	Notes
Library1	edge_1	1	1	1	
Library1	edge_2	1	2	1	
Library1	edge_3	1	3	1	
Library1	edge_4	1	4	1	
Library1	edge_5	1	5	1	
Library1	edge_6	1	6	1	
Library1	edge_7	1	1	2	
Library1	sample_1	1	2	2	
Library1	sample_2	1	3	2	
Library1	sample_3	1	4	2	
Library1	sample_4	1	5	2	
Library1	edge_8	1	6	2	
Library1	edge_9	1	1	3	
Library1	sample_5	1	2	3	
Library1	sample_6	1	3	3	
Library1	sample_7	1	4	3	
Library1	sample_8	1	5	3	
Library1	edge_10	1	6	3	
Library1	edge_11	1	1	4	
Library1	sample_9	1	2	4	
Library1	sample_10	1	3	4	
Library1	sample_11	1	4	4	
Library1	sample_12	1	5	4	
Library1	edge_12	1	6	4	
Library1	edge_13	1	1	5	
Library1	sample_13	1	2	5	
Library1	sample_14	1	3	5	
Library1	sample_15	1	4	5	
Library1	sample_16	1	5	5	
Library1	edge_14	1	6	5	
Library1	edge_15	1	1	6	
Library1	sample_17	1	2	6	
Library1	sample_18	1	3	6	
Library1	sample_19	1	4	6	
Library1	sample_20	1	5	6	
Library1	edge_16	1	6	6	
Library1	edge_17	1	1	7	
Library1	sample_21	1	2	7	
Library1	sample_22	1	3	7	
Library1	sample_23	1	4	7	
Library1	sample_24	1	5	7	
Library1	edge_18	1	6	7	
Library1	edge_19	1	1	8	
Library1	edge_20	1	2	8	
Library1	edge_21	1	3	8	
Library1	edge_22	1	4	8	
Library1	edge_23	1	5	8	
Library1	edge_24	1	6	8	
