row,col,maxslp,maxslp_t,nr,nr_t,g,b,name,source,RNAseq,96well,agarPlate,elapsed_time,biorep,speed,techrep,neighbour,plate_id
2,2,0.00281266660399904,12.3278705648343,0.36987355514384,10.0235956929026,0.00969372376496154,16.0002939408943,C4,1018.0117948055268,1070.7238450050354,1082.1940953731537,1086.889279127121,68.87748432159424,1,290,1,8,Plate 1
2,3,0.00282442030302005,12.3134688468847,0.421218395567635,9.87237765443211,0.00921552818091062,15.1669592293037,C5,1739.491827249527,1792.6738829612732,1804.023885011673,1808.7393836975095,69.24755644798279,2,290,1,8,Plate 1
2,4,0.00273514887662307,14.4665256803458,0.364281399169997,10.045198269827,0.00896669321853445,15.3336266593054,C6,2456.8922567367554,2510.753933906555,2522.203752756119,2526.889358520508,69.99710178375244,1,290,2,8,Plate 1
2,5,0.0027460121195845,12.3295014223645,0.410568082385154,10.0521129890767,0.0089412503084862,15.166959570129,C7,3182.752038002014,3236.8038623332977,3248.15394449234,3252.8594563007355,70.10741829872131,2,290,2,8,Plate 1
2,6,0.00280098039040499,14.5025299752197,0.391776651493814,9.92278366725562,0.0103767969782123,15.8336264053239,C8,3904.6819047927856,3959.6637535095215,3971.143569946289,3975.829556703567,71.14765191078186,1,290,3,8,Plate 1
2,7,0.0028381194339816,14.5025299752197,0.35879814104689,10.045198269827,0.00909344684414774,16.6669605426512,C9,4635.3318474292755,4690.503849029541,4701.873894453049,4706.569453954697,71.23760652542114,2,290,3,8,Plate 1
3,2,0.00275561309468625,14.4665256803458,0.371385371407129,10.0235956929026,0.00927414030963311,15.8336268592182,D4,1157.4117403030396,1215.8138763904572,1229.394002199173,1234.7695705890656,77.357830286026,1,210,1,8,Plate 1
3,3,0.00276925387329707,14.4737265393206,0.357075457202427,10.0523991288018,0.0132251431023174,15.1669588925804,D5,1879.1316664218905,1937.9540033340456,1951.4539783000944,1956.8492736816409,77.71760725975037,2,210,1,8,Plate 1
3,4,0.00276524157545935,14.4881282572702,0.378845797710525,10.0523991288018,0.00819993348950732,15.1669602425861,D6,2597.3518505096436,2656.8375647068024,2670.4437308311462,2675.819460868835,78.4676103591919,1,210,2,8,Plate 1
3,5,0.00275503917294279,14.495329116245,0.296952500420389,12.1622508084142,0.0117044655268176,15.500292627779,D7,3323.1219069957733,3383.0338304042816,3396.5439162254333,3401.919328689575,78.79742169380188,2,210,2,8,Plate 1
3,6,0.00269777770829302,14.5241325521441,0.392995891527192,10.0740017057261,0.00895274182219484,15.8336260954347,D8,4046.392578840256,4106.944033622742,4120.5638728141785,4125.9494252204895,79.55684638023376,1,210,3,8,Plate 1
3,7,0.00271374979963351,14.5169316931693,0.35353547838568,10.0812025647009,0.0083091654549048,16.3336264648281,D9,4777.222235441208,4838.273885965347,4851.794147968292,4857.189459323883,79.96722388267517,2,210,3,8,Plate 1
4,2,0.00270684378274669,14.4881282572702,0.368674675845782,10.0163948339278,0.00873509200783592,15.8336265809728,E4,1305.361876964569,1378.1939001083374,1396.8939378261566,1404.2094333171844,98.84755635261536,1,130,1,8,Plate 1
4,3,0.00264453555474248,14.495329116245,0.447631044044883,9.97318968007912,0.0108589846399233,15.5002923025033,E5,2027.391757965088,2100.8037700653076,2119.4338552951813,2126.7493114471436,99.35755348205566,2,130,1,8,Plate 1
4,4,0.00266501856248033,14.495329116245,0.350790748040453,10.0740017057261,0.00859338711356838,15.5002932642742,E6,2746.781686782837,2820.6439061164856,2839.3539543151855,2846.659446001053,99.87775921821594,1,130,2,8,Plate 1
4,5,0.00263436213669699,14.4881282572702,0.331030671318899,10.0740017057261,0.0111378012750335,15.1669597627849,E7,3472.6020591259003,3547.173928499222,3565.783835887909,3573.0994458198547,100.49738669395448,2,130,2,8,Plate 1
4,6,0.00259490926647274,14.560136847018,0.378453904854581,12.1838533853385,0.00973286304462145,16.6669587908164,E8,4197.061689853668,4272.033826112747,4290.743994235992,4298.059895038605,100.99820518493652,1,130,3,8,Plate 1
4,7,0.00271627997731547,14.5385342700937,0.345627489908296,12.1982551032881,0.01036991248925,16.8336266779604,E9,4927.821835756302,5003.403902292252,5022.053954601288,5029.35933804512,101.53750228881836,2,130,3,8,Plate 1
5,2,0.00263159246874714,14.4881282572702,0.393508400025055,9.97318968007912,0.00893702037668074,16.8336261468007,F4,1474.8623642921448,1611.2838859558103,1652.6656923294067,1668.8993742465973,194.03700995445251,1,50,1,8,Plate 1
5,3,0.00267317918451956,14.5025299752197,0.306557696392318,12.1766525263637,0.0103390739616092,16.0002927255204,F5,2196.7019476890564,2328.964147090912,2370.253843307495,2386.479611635208,189.77766394615173,2,50,1,8,Plate 1
5,4,0.0025735992099235,14.5097308341945,0.361451272352653,10.0091939749531,0.0101995299030502,16.1669588358806,F6,2917.1521515846252,3054.3137567043304,3095.6839039325714,3111.909418106079,194.75726652145383,1,50,2,8,Plate 1
5,5,0.00266256323299893,14.5025299752197,0.342301440481307,10.0884034236757,0.0103079889890618,16.0002929254713,F7,3643.3021092414856,3776.653933286667,3817.933968067169,3834.1695642471313,190.86745500564575,2,50,2,8,Plate 1
5,6,0.0024687210363819,16.7275953984287,0.653701869355316,10.2396214621462,0.0095847877561292,17.833625203834,F8,4368.711975574493,4506.953826904297,4548.333717823029,4564.54936671257,195.8373911380768,1,50,3,8,Plate 1
5,7,0.0025735031544509,14.5817394239424,0.319143352403017,12.2486611161116,0.0109302141702304,18.3336269711812,F9,5099.941898584366,5234.3839638233185,5275.693938732147,5291.899369478226,191.95747089385983,2,50,3,8,Plate 1
2,2,0.00317993647027184,12.3206697058595,0.273544064306463,10.0740017057261,0.0115450409054729,15.6669649228585,F9,5099.941898584366,5234.3839638233185,5275.693938732147,5299.709912061691,199.76801347732544,2,50,3,8,Plate 2
2,3,0.00325624694983914,12.2990671289351,0.304814857914337,10.0163948339278,0.0101276224826188,14.1669623611406,F8,4368.711975574493,4506.953826904297,4548.333717823029,4572.499862909317,203.7878873348236,1,50,3,8,Plate 2
2,4,0.00311185755370522,12.3206697058595,0.319562706634358,10.0379974108522,0.00983503603093481,14.8336283321357,F7,3643.3021092414856,3776.653933286667,3817.933968067169,3842.030099630356,198.72799038887024,2,50,2,8,Plate 2
2,5,0.0031727784345105,12.3062679879099,0.272076296479185,10.0668008467513,0.00994360779928158,14.5002957816695,F6,2917.1521515846252,3054.3137567043304,3095.6839039325714,3119.8297708034515,202.6776192188263,1,50,2,8,Plate 2
2,6,0.00316971451863601,14.4809273982954,0.283948896111497,12.169451667389,0.00971721234892523,15.3336288600837,F5,2196.7019476890564,2328.964147090912,2370.253843307495,2394.370059967041,197.66811227798465,2,50,1,8,Plate 2
2,7,0.00314837394932432,14.4809273982954,0.270725712185893,12.1766525263637,0.0103007245659486,15.8336286285091,F4,1474.8623642921448,1611.2838859558103,1652.6656923294067,1676.8197712898254,201.95740699768064,1,50,1,8,Plate 2
3,2,0.00322359493716562,14.459324821371,0.326522645366367,10.0379974108522,0.0109241262667305,15.3336296709921,E9,4927.821835756302,5003.403902292252,5022.053954601288,5037.259869337082,109.43803358078004,2,130,3,8,Plate 2
3,3,0.00321398766147882,12.335071423809,0.354612281343591,10.0019931159783,0.00954301175581815,14.5002948526456,E8,4197.061689853668,4272.033826112747,4290.743994235992,4305.999921321869,108.93823146820068,1,130,3,8,Plate 2
3,4,0.00311403486625422,14.4737265393206,0.322276952005041,10.0595999877766,0.00922111703570686,14.8336281130801,E7,3472.6020591259003,3547.173928499222,3565.783835887909,3580.9800910949707,108.37803196907043,2,130,2,8,Plate 2
3,5,0.00312838086401201,14.4665256803458,0.342044455425849,10.0235956929026,0.00946278803644512,14.6669615625273,E6,2746.781686782837,2820.6439061164856,2839.3539543151855,2854.579847335815,107.79816055297852,1,130,2,8,Plate 2
3,6,0.00313179016064175,14.5025299752197,0.338366869785389,10.0740017057261,0.00893876962823639,15.3336279761986,E5,2027.391757965088,2100.8037700653076,2119.4338552951813,2134.599840164185,107.20808219909668,2,130,1,8,Plate 2
3,7,0.00323636362320467,14.5025299752197,0.3390648714241,10.0668008467513,0.00973984456898951,15.6669625182214,E4,1305.361876964569,1378.1939001083374,1396.8939378261566,1412.1395931243896,106.77771615982056,1,130,1,8,Plate 2
4,2,0.00330242633569261,14.4809273982954,0.347530092223991,10.0307965518774,0.00989224030219352,15.1669619106624,D9,4777.222235441208,4838.273885965347,4851.794147968292,4865.0914788246155,87.86924338340759,2,210,3,8,Plate 2
4,3,0.00330926090960637,14.4809273982954,0.370150303456995,9.97318968007912,0.00966264163456138,14.8336282519773,D8,4046.392578840256,4106.944033622742,4120.5638728141785,4133.920174598694,87.52759575843811,1,210,3,8,Plate 2
4,4,0.0031560196150221,14.4809273982954,0.761359699517072,0.00720085897478637,0.009457237843197,14.666962373731,D7,3323.1219069957733,3383.0338304042816,3396.5439162254333,3409.7898137569427,86.66790676116943,2,210,2,8,Plate 2
4,5,0.00321133008719665,14.4737265393206,0.380319799546669,9.95878796212955,0.00961269058894329,14.6669632127545,D6,2597.3518505096436,2656.8375647068024,2670.4437308311462,2683.7398343086243,86.38798379898071,1,210,2,8,Plate 2
4,6,0.00317103448535874,14.5313334111189,0.354214410496212,12.1550499494394,0.00872915285936681,15.6669617477156,D5,1879.1316664218905,1937.9540033340456,1951.4539783000944,1964.7197647094729,85.5880982875824,2,210,1,8,Plate 2
4,7,0.00324697748087938,14.5169316931693,0.344009332291506,12.1478490904646,0.00965167361143004,15.8336293871631,D4,1157.4117403030396,1215.8138763904572,1229.394002199173,1242.720067501068,85.30832719802856,1,210,1,8,Plate 2
5,2,0.00340688943719497,14.4737265393206,0.336840514831849,10.0595999877766,0.0161367537287275,15.6669560106058,C9,4635.3318474292755,4690.503849029541,4701.873894453049,4714.4399766922,79.1081292629242,2,290,3,8,Plate 2
5,3,0.00334698308613463,14.4881282572702,0.345901246996405,10.0523991288018,0.0100094813844182,15.1669625550024,C8,3904.6819047927856,3959.6637535095215,3971.143569946289,3983.7100496292114,79.02814483642578,1,290,3,8,Plate 2
5,4,0.00322805633275886,14.495329116245,0.352971761783394,10.0523991288018,0.00982620936585399,15.5002958787873,C7,3182.752038002014,3236.8038623332977,3248.15394449234,3260.6498930454254,77.89785504341125,2,290,2,8,Plate 2
5,5,0.00326749246073316,14.4881282572702,0.320656454926294,10.0668008467513,0.0101956566983435,15.3336295121303,C6,2456.8922567367554,2510.753933906555,2522.203752756119,2534.839902639389,77.94764590263367,1,290,2,8,Plate 2
5,6,0.00308340275884805,14.5817394239424,0.395194950284505,12.1910542443133,0.00862799177889002,17.0002948247728,C5,1739.491827249527,1792.6738829612732,1804.023885011673,1816.5198059082031,77.02797865867615,2,290,1,8,Plate 2
5,7,0.00326737796575716,14.560136847018,0.374115257049112,12.1838533853385,0.00971474358498585,16.8336296913085,C4,1018.0117948055268,1070.7238450050354,1082.1940953731537,1094.8299016952517,76.81810688972473,1,290,1,8,Plate 2
