ID1,BiologicalReplicates,Speed,TechnicalReplicate,1-column_description,Nanodrop
TMRC_025_01,B1,S4,T1,B1_S4_T1,4668.6
TMRC_025_02,B1,S3,T1,B1_S3_T1,4337.7
TMRC_025_03,B1,S2,T1,B1_S2_T1,4604
TMRC_025_04,B1,S1,T1,B1_S1_T1,4399.3
TMRC_025_05,B2,S4,T1,B2_S4_T1,8949.8
TMRC_025_06,B2,S3,T1,B2_S3_T1,4690.9
TMRC_025_07,B2,S2,T1,B2_S2_T1,4619.6
TMRC_025_08,B2,S1,T1,B2_S1_T1,4105.8
TMRC_025_09,B1,S4,T2,B1_S4_T2,8563.4
TMRC_025_10,B1,S3,T2,B1_S3_T2,3559.1
TMRC_025_11,B1,S2,T2,B1_S2_T2,3959.5
TMRC_025_12,B1,S1,T2,B1_S1_T2,3044.1
TMRC_025_13,B2,S4,T2,B2_S4_T2,7648.3
TMRC_025_14,B2,S3,T2,B2_S3_T2,4176.4
TMRC_025_15,B2,S2,T2,B2_S2_T2,4137.5
TMRC_025_16,B2,S1,T2,B2_S1_T2,3537.5
TMRC_025_17,B1,S4,T3,B1_S4_T3,4222.3
TMRC_025_18,B1,S3,T3,B1_S3_T3,3137
TMRC_025_19,B1,S2,T3,B1_S2_T3,2867.7
TMRC_025_20,B1,S1,T3,B1_S1_T3,1675.9
TMRC_025_21,B2,S4,T3,B2_S4_T3,4158.4
TMRC_025_22,B2,S3,T3,B2_S3_T3,3352.9
TMRC_025_23,B2,S2,T3,B2_S2_T3,2901.3
TMRC_025_24,B2,S1,T3,B2_S1_T3,2063.9
